Target,Mode,Run,Function,N_test_in_function,Correct_in_function,Accuracy_in_function,TN_in_function,FP_in_function,FN_in_function,TP_in_function
Mutagenic,Binary (2 vs others),14,Other_Processing_Aids,64,54,84.375,52.0,1.0,9.0,2.0
Mutagenic,Binary (2 vs others),14,Heat_stabilizer,10,10,100.0,10.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),14,Light_stabilizer,22,19,86.36363636363636,19.0,0.0,3.0,0.0
Mutagenic,Binary (2 vs others),14,Monomer,22,21,95.45454545454545,21.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),14,Plasticizer,20,16,80.0,16.0,1.0,3.0,0.0
Mutagenic,Binary (2 vs others),14,Viscosity_modifier,5,5,100.0,5.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),14,Initiator,11,10,90.9090909090909,9.0,0.0,1.0,1.0
Mutagenic,Binary (2 vs others),14,Flame_retardant,9,5,55.55555555555556,5.0,0.0,4.0,0.0
Mutagenic,Binary (2 vs others),14,Antistatic_agent,5,4,80.0,4.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),14,NIAS,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),14,Blowing_agent,4,2,50.0,2.0,0.0,2.0,0.0
Mutagenic,Binary (2 vs others),14,Unspecified_additive,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),14,Solvent,2,1,50.0,1.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),15,Colorant,70,61,87.14285714285714,55.0,1.0,8.0,6.0
Mutagenic,Binary (2 vs others),15,Filler,36,31,86.11111111111111,28.0,1.0,4.0,3.0
Mutagenic,Binary (2 vs others),15,Intermediate,33,29,87.87878787878788,25.0,1.0,3.0,4.0
Mutagenic,Binary (2 vs others),15,Lubricant,31,25,80.64516129032258,22.0,2.0,4.0,3.0
Mutagenic,Binary (2 vs others),15,Other_Processing_Aids,66,54,81.81818181818183,50.0,2.0,10.0,4.0
Mutagenic,Binary (2 vs others),15,Monomer,15,12,80.0,12.0,1.0,2.0,0.0
Mutagenic,Binary (2 vs others),15,Light_stabilizer,24,21,87.5,19.0,2.0,1.0,2.0
Mutagenic,Binary (2 vs others),15,Crosslinking_agent,27,23,85.18518518518519,20.0,1.0,3.0,3.0
Mutagenic,Binary (2 vs others),15,Antioxidant,17,13,76.47058823529412,11.0,2.0,2.0,2.0
Mutagenic,Binary (2 vs others),15,Antistatic_agent,6,5,83.33333333333334,5.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),15,Blowing_agent,3,1,33.33333333333333,1.0,1.0,1.0,0.0
Mutagenic,Binary (2 vs others),15,Catalyst,20,18,90.0,16.0,1.0,1.0,2.0
Mutagenic,Binary (2 vs others),15,Flame_retardant,10,6,60.0,6.0,1.0,3.0,0.0
