Target,Run,Feature,Importance
Mutagenic,3,Kappa1,0.03822548213902918
Mutagenic,3,Kappa2,0.021671489243786077
Mutagenic,3,Kappa3,0.03140906231522483
Mutagenic,3,MaxAbsEStateIndex,0.019414354457111316
Mutagenic,3,MaxAbsPartialCharge,0.022570995435391195
Mutagenic,3,MaxEStateIndex,0.023676140819690272
Mutagenic,3,MaxPartialCharge,0.029356612585818287
Mutagenic,3,MinAbsEStateIndex,0.018885772223931886
Mutagenic,3,MinAbsPartialCharge,0.029532622219057933
Mutagenic,3,MinEStateIndex,0.028258914897074074
Mutagenic,3,MinPartialCharge,0.034141326040721204
Mutagenic,3,MolLogP,0.01963836675975813
Mutagenic,3,MolMR,0.026327583928321616
Mutagenic,3,MolWt,0.023666792645460177
Mutagenic,3,NumValenceElectrons,0.00897176421440121
Mutagenic,3,PEOE_VSA1,0.01386315595276348
Mutagenic,3,PEOE_VSA6,0.017483584188300087
Mutagenic,3,SMR_VSA1,0.020713595135545926
Mutagenic,3,SMR_VSA10,0.0394624083005855
Mutagenic,3,SMR_VSA5,0.010272613095201798
Mutagenic,3,SMR_VSA6,0.008315174880604763
Mutagenic,3,SlogP_VSA2,0.029673940209935454
Mutagenic,3,SlogP_VSA3,0.04996489257495688
Mutagenic,3,SlogP_VSA5,0.011650244140438682
Mutagenic,3,VSA_EState1,0.017486250492102638
Mutagenic,3,VSA_EState10,0.01000412597742224
Mutagenic,3,VSA_EState4,0.03454107622466192
Mutagenic,3,VSA_EState5,0.0278467122205316
Mutagenic,3,VSA_EState7,0.013319592377071929
Mutagenic,3,VSA_EState8,0.01627289241455064
Mutagenic,4,BalabanJ,0.019818307037318607
Mutagenic,4,BertzCT,0.02440582858314921
Mutagenic,4,Chi0n,0.017838273016498617
Mutagenic,4,Chi0v,0.027942433179300587
Mutagenic,4,Chi1,0.011099948534407033
Mutagenic,4,Chi1n,0.017219171988925083
Mutagenic,4,Chi1v,0.01850842573768204
Mutagenic,4,Chi2n,0.022159208968579827
Mutagenic,4,Chi2v,0.01909381863432689
Mutagenic,4,Chi3n,0.01789116691213332
Mutagenic,4,Chi3v,0.015437972221534976
Mutagenic,4,Chi4n,0.02466174855078179
Mutagenic,4,EState_VSA2,0.015429739469893854
Mutagenic,4,EState_VSA5,0.013479411517636243
Mutagenic,4,EState_VSA9,0.020617544430116364
Mutagenic,4,HallKierAlpha,0.033373284423822196
Mutagenic,4,HeavyAtomMolWt,0.020299261140328498
Mutagenic,4,Kappa1,0.022341301994212
Mutagenic,4,Kappa2,0.027761597605197405
Mutagenic,4,Kappa3,0.03290758996721842
Mutagenic,4,MaxAbsEStateIndex,0.028563595801635283
Mutagenic,4,MaxAbsPartialCharge,0.028738944789596804
Mutagenic,4,MaxEStateIndex,0.023501078555284074
Mutagenic,4,MaxPartialCharge,0.03798383574228511
Mutagenic,4,MinAbsEStateIndex,0.025725407726806777
Mutagenic,4,MinAbsPartialCharge,0.02976584924961288
Mutagenic,4,MinEStateIndex,0.028136641331600907
Mutagenic,4,MinPartialCharge,0.02317168547974035
Mutagenic,4,MolLogP,0.02625511461978303
Mutagenic,4,MolMR,0.036777074266678526
Mutagenic,4,MolWt,0.021747259499463687
Mutagenic,4,PEOE_VSA6,0.01704193574011145
Mutagenic,4,SMR_VSA1,0.01882942877841382
Mutagenic,4,SMR_VSA10,0.04427978072221587
Mutagenic,4,SMR_VSA6,0.011550485447417071
Mutagenic,4,SlogP_VSA2,0.03360158550680354
Mutagenic,4,SlogP_VSA3,0.05833827316475182
Mutagenic,4,VSA_EState1,0.011083883132474387
Mutagenic,4,VSA_EState10,0.010416247073993171
Mutagenic,4,VSA_EState3,0.014247564289769058
Mutagenic,4,VSA_EState5,0.026203440214014388
Mutagenic,4,VSA_EState7,0.02175485495448518
Mutagenic,5,BalabanJ,0.029444643853386198
Mutagenic,5,BertzCT,0.023699625185634374
Mutagenic,5,Chi0n,0.012663066166718988
Mutagenic,5,Chi0v,0.03020158326292696
Mutagenic,5,Chi1,0.009751393668951905
Mutagenic,5,Chi1n,0.014533980215446898
Mutagenic,5,Chi1v,0.014453392823961655
Mutagenic,5,Chi2n,0.024771424960400915
Mutagenic,5,Chi2v,0.017710147094924886
Mutagenic,5,Chi4n,0.021603136157060384
Mutagenic,5,Chi4v,0.017268125213851283
Mutagenic,5,EState_VSA6,0.017642842819085132
Mutagenic,5,HallKierAlpha,0.027816936170573812
Mutagenic,5,HeavyAtomCount,0.004877330024241312
Mutagenic,5,HeavyAtomMolWt,0.02229468729994765
Mutagenic,5,Kappa1,0.02747923656176873
Mutagenic,5,Kappa2,0.03763242283993849
Mutagenic,5,Kappa3,0.03156509688716124
Mutagenic,5,MaxAbsEStateIndex,0.026870301603954237
Mutagenic,5,MaxAbsPartialCharge,0.02371863387472421
Mutagenic,5,MaxEStateIndex,0.025221523281140117
Mutagenic,5,MaxPartialCharge,0.04076238209809995
Mutagenic,5,MinAbsEStateIndex,0.02432901015248084
Mutagenic,5,MinAbsPartialCharge,0.03374218002529563
Mutagenic,5,MinEStateIndex,0.02407631719647992
Mutagenic,5,MinPartialCharge,0.03589026351963397
Mutagenic,5,MolLogP,0.030058310064268845
Mutagenic,5,MolMR,0.02552510070294917
Mutagenic,5,MolWt,0.026075512466943403
Mutagenic,5,NumHeteroatoms,0.01430031350524537
Mutagenic,5,NumValenceElectrons,0.010523079279512328
Mutagenic,5,PEOE_VSA6,0.01744027308917723
Mutagenic,5,SMR_VSA1,0.02374998461954387
Mutagenic,5,SMR_VSA10,0.05889586666701604
Mutagenic,5,SlogP_VSA2,0.02991397437648966
Mutagenic,5,SlogP_VSA3,0.06889273702847372
Mutagenic,5,VSA_EState1,0.014399874786497022
Mutagenic,5,VSA_EState5,0.026745785618248
Mutagenic,5,VSA_EState7,0.018154381362890236
Mutagenic,5,VSA_EState8,0.015305123474955395
Mutagenic,6,BalabanJ,0.02236417799671654
Mutagenic,6,BertzCT,0.022478095653180197
Mutagenic,6,Chi0n,0.014146377223268058
Mutagenic,6,Chi0v,0.02359887380017757
Mutagenic,6,Chi1,0.008661108355587985
Mutagenic,6,Chi1n,0.014134329178588895
Mutagenic,6,Chi1v,0.011295446398550008
Mutagenic,6,Chi2n,0.0171679142744978
Mutagenic,6,Chi2v,0.016789043247500305
Mutagenic,6,Chi3n,0.013393159822216767
Mutagenic,6,Chi3v,0.01640576683704763
Mutagenic,6,Chi4v,0.011591677211473188
Mutagenic,6,EState_VSA2,0.012473778071488027
Mutagenic,6,EState_VSA9,0.028694099147030697
Mutagenic,6,HallKierAlpha,0.026319364272974023
Mutagenic,6,HeavyAtomMolWt,0.023300769286465167
Mutagenic,6,Kappa1,0.03125494410677495
Mutagenic,6,Kappa2,0.031553938572465634
Mutagenic,6,Kappa3,0.034166574751705654
Mutagenic,6,MaxAbsEStateIndex,0.02435500468752101
Mutagenic,6,MaxAbsPartialCharge,0.02346509651799899
Mutagenic,6,MaxEStateIndex,0.024771947352387736
Mutagenic,6,MaxPartialCharge,0.02435576295717459
Mutagenic,6,MinAbsEStateIndex,0.02233797762054625
Mutagenic,6,MinAbsPartialCharge,0.023790079017395906
Mutagenic,6,MinEStateIndex,0.02888597311860201
Mutagenic,6,MinPartialCharge,0.02793843625942435
Mutagenic,6,MolLogP,0.027660317544560376
Mutagenic,6,MolMR,0.02091412860052577
Mutagenic,6,MolWt,0.020993319093776365
Mutagenic,6,NumValenceElectrons,0.009893147393942573
Mutagenic,6,PEOE_VSA6,0.018964298199231528
Mutagenic,6,SMR_VSA1,0.026674157744692766
Mutagenic,6,SMR_VSA10,0.05702793001762758
Mutagenic,6,SMR_VSA3,0.016116279720792735
Mutagenic,6,SlogP_VSA2,0.03204337516601773
Mutagenic,6,SlogP_VSA3,0.06710843696693326
Mutagenic,6,VSA_EState1,0.018457027647727265
Mutagenic,6,VSA_EState10,0.012624362099869795
Mutagenic,6,VSA_EState4,0.03082063932020073
Mutagenic,6,VSA_EState5,0.029551999624841223
Mutagenic,6,VSA_EState7,0.018456315165802747
Mutagenic,6,VSA_EState8,0.013004549954697726
Mutagenic,7,BalabanJ,0.023517231452116153
Mutagenic,7,BertzCT,0.02172760746358376
Mutagenic,7,Chi0,0.009194237163688262
Mutagenic,7,Chi0n,0.015012672999154212
Mutagenic,7,Chi0v,0.029229649996177217
Mutagenic,7,Chi1n,0.011548574219784571
Mutagenic,7,Chi1v,0.01745127860058024
Mutagenic,7,Chi2n,0.013441030984636755
Mutagenic,7,Chi2v,0.015443558641646175
Mutagenic,7,Chi3n,0.015868068793175056
Mutagenic,7,Chi3v,0.021994260029388618
Mutagenic,7,Chi4v,0.012301082062104195
Mutagenic,7,EState_VSA2,0.020462103684828956
Mutagenic,7,EState_VSA8,0.014132572645147435
Mutagenic,7,HallKierAlpha,0.03129684276350397
Mutagenic,7,HeavyAtomMolWt,0.03325940877084547
Mutagenic,7,Kappa1,0.03455637262502473
Mutagenic,7,Kappa2,0.03140219088184799
Mutagenic,7,Kappa3,0.0329078199187319
Mutagenic,7,MaxAbsEStateIndex,0.022728857988782793
Mutagenic,7,MaxAbsPartialCharge,0.02779653895222987
Mutagenic,7,MaxEStateIndex,0.02617857487646703
Mutagenic,7,MaxPartialCharge,0.02594501217728429
Mutagenic,7,MinAbsPartialCharge,0.025322802788728577
Mutagenic,7,MinEStateIndex,0.02233896415282048
Mutagenic,7,MinPartialCharge,0.03021702608061931
Mutagenic,7,MolLogP,0.02569944232078211
Mutagenic,7,MolMR,0.026964078474031473
Mutagenic,7,MolWt,0.030049750676825547
Mutagenic,7,NumHeteroatoms,0.013019204785864671
Mutagenic,7,NumValenceElectrons,0.010268014547500138
Mutagenic,7,PEOE_VSA6,0.018425135552925045
Mutagenic,7,SMR_VSA1,0.021667492628588622
Mutagenic,7,SMR_VSA10,0.04909932474558582
Mutagenic,7,SlogP_VSA2,0.036162387476767345
Mutagenic,7,SlogP_VSA3,0.052801641984812984
Mutagenic,7,VSA_EState1,0.018212553666546432
Mutagenic,7,VSA_EState10,0.012138305467549744
Mutagenic,7,VSA_EState4,0.03971927395694058
Mutagenic,7,VSA_EState5,0.027050774930408014
Mutagenic,7,VSA_EState7,0.016463992687399422
Mutagenic,7,VSA_EState8,0.01698428538457405
Mutagenic,8,BalabanJ,0.02210018758097096
Mutagenic,8,BertzCT,0.02289291158193669
Mutagenic,8,Chi0,0.00863888046646551
Mutagenic,8,Chi0n,0.018869244861506415
Mutagenic,8,Chi0v,0.02640868434018543
Mutagenic,8,Chi1,0.01641030327678787
